194
(1000000000000, 1000000000000)
(-1000000000000, -1000000000000)
(1000000000000, -1000000000000)
(-1000000000000, 1000000000000)
(0, 0)
(0, 0)
(1e-09, 0)
(0, 1e-09)
(123456789, -5)
(123456789, -4)
(123456789, -3)
(123456789, -2)
(123456789, -1)
(123456789, 0)
(123456789, 1)
(123456789, 2)
(123456789, 3)
(123456789, 4)
(123456789, 5)
(-5, -987654321)
(-4, -987654321)
(-3, -987654321)
(-2, -987654321)
(-1, -987654321)
(0, -987654321)
(1, -987654321)
(2, -987654321)
(3, -987654321)
(4, -987654321)
(5, -987654321)
(-20, -40)
(-19, -38)
(-18, -36)
(-17, -34)
(-16, -32)
(-15, -30)
(-14, -28)
(-13, -26)
(-12, -24)
(-11, -22)
(-10, -20)
(-9, -18)
(-8, -16)
(-7, -14)
(-6, -12)
(-5, -10)
(-4, -8)
(-3, -6)
(-2, -4)
(-1, -2)
(0, 0)
(1, 2)
(2, 4)
(3, 6)
(4, 8)
(5, 10)
(6, 12)
(7, 14)
(8, 16)
(9, 18)
(10, 20)
(11, 22)
(12, 24)
(13, 26)
(14, 28)
(15, 30)
(16, 32)
(17, 34)
(18, 36)
(19, 38)
(20, 40)
(1000, 1000)
(1000.000000001, 1000)
(999.999999999, 1000)
(1000.000000002, 1000)
(999.999999998, 1000)
(1000.000000005, 1000)
(1000, 1000.000000001)
(1000.000000001, 1000.000000001)
(999.999999999, 1000.000000001)
(1000.000000002, 1000.000000001)
(999.999999998, 1000.000000001)
(1000.000000005, 1000.000000001)
(1000, 999.999999999)
(1000.000000001, 999.999999999)
(999.999999999, 999.999999999)
(1000.000000002, 999.999999999)
(999.999999998, 999.999999999)
(1000.000000005, 999.999999999)
(1000, 1000.000000003)
(1000.000000001, 1000.000000003)
(999.999999999, 1000.000000003)
(1000.000000002, 1000.000000003)
(999.999999998, 1000.000000003)
(1000.000000005, 1000.000000003)
(0, 1)
(0, 2)
(0, 3)
(0, 4)
(0, 5)
(0, 6)
(0, 7)
(0, 8)
(0, 9)
(1, 0)
(1, 1)
(1, 2)
(1, 3)
(1, 4)
(1, 5)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(2, 0)
(2, 1)
(2, 2)
(2, 3)
(2, 4)
(2, 5)
(2, 6)
(2, 7)
(2, 8)
(2, 9)
(3, 0)
(3, 1)
(3, 2)
(3, 3)
(3, 4)
(3, 5)
(3, 6)
(3, 7)
(3, 8)
(3, 9)
(4, 0)
(4, 1)
(4, 2)
(4, 3)
(4, 4)
(4, 5)
(4, 6)
(4, 7)
(4, 8)
(4, 9)
(5, 0)
(5, 1)
(5, 2)
(5, 3)
(5, 4)
(5, 5)
(5, 6)
(5, 7)
(5, 8)
(5, 9)
(6, 0)
(6, 1)
(6, 2)
(6, 3)
(6, 4)
(6, 5)
(6, 6)
(6, 7)
(6, 8)
(6, 9)
(7, 0)
(7, 1)
(7, 2)
(7, 3)
(7, 4)
(7, 5)
(7, 6)
(7, 7)
(7, 8)
(7, 9)
(8, 0)
(8, 1)
(8, 2)
(8, 3)
(8, 4)
(8, 5)
(8, 6)
(8, 7)
(8, 8)
(8, 9)
(9, 0)
(9, 1)
(9, 2)
(9, 3)
(9, 4)
(9, 5)
(9, 6)
(9, 7)
(9, 8)
(9, 9)
