50
(-762802, -550753)
(-3371, 311445)
(65738, -916523)
(613179, -155485)
(-583149, -557937)
(528592, 333830)
(-366938, 212052)
(-476572, -731458)
(190715, -401764)
(13197, -357796)
(616875, -623600)
(-677055, 764996)
(622877, 137973)
(172897, 89707)
(496306, -502859)
(283072, 890153)
(160039, 389660)
(-443840, 301922)
(163866, 382427)
(-609265, 152262)
(-892226, -683673)
(819579, -74588)
(371482, -203662)
(-717298, 935734)
(-10714, -201714)
(620971, 297127)
(-263399, 397761)
(-991371, 388132)
(338261, 761963)
(-124063, 173556)
(-995298, -692953)
(-100529, 314106)
(414182, -569862)
(-639259, 392607)
(703385, 232907)
(-975527, -406009)
(-556667, -244985)
(595479, -768796)
(-937417, 126794)
(-370823, -313430)
(-246376, -294245)
(945755, 885273)
(-144432, -860089)
(986051, -325413)
(198762, 812434)
(0, 0)
(1, 1)
(1000000, 1000000)
(-1000000, -1000000)
(999999, -999999)
