50
(1217, 6962)
(-4639, 7081)
(102, -9800)
(8471, 7316)
(947, -582)
(-3386, 6453)
(6642, -9613)
(-1678, -1246)
(9847, -2508)
(574, 4479)
(5568, 6935)
(5675, -1521)
(3438, -1902)
(4676, -7365)
(-6065, 9907)
(-4087, 7600)
(-8085, 487)
(4778, 4576)
(-2708, -3947)
(-596, 2599)
(1035, 8492)
(4814, -6382)
(-6, -2429)
(479, 7757)
(2043, -5889)
(-4526, -3887)
(9562, 9945)
(6199, -5218)
(9788, -3382)
(-1693, -3980)
(659, 114)
(9502, 2759)
(-5441, -2547)
(-282, 8453)
(4318, -5977)
(7555, 2406)
(3076, -5989)
(1647, -9675)
(2799, 7014)
(-2814, -7596)
(1706, 2788)
(-3972, -5792)
(-9779, 533)
(-4760, 7846)
(1015, -2301)
(8762, 8585)
(9120, -729)
(1884, 8698)
(4981, 9367)
(5752, -1204)
