70
(100,100)
(101,100)
(100,101)
(101,101)
(99,99)
(100.5,100.5)
(100.1,100.1)
(100.2,100.2)
(100.3,100.3)
(100.4,100.4)
(-50,-50)
(-49.9,-50.1)
(-50.1,-50)
(-49.8,-50.2)
(-50.2,-49.8)
(-49.95,-50.05)
(-49.85,-49.95)
(-50.05,-49.85)
(-50.15,-50.15)
(-49.75,-49.75)
(0,0)
(0,1)
(0,2)
(0,3)
(0,4)
(1,0)
(1,1)
(1,2)
(1,3)
(1,4)
(2,0)
(2,1)
(2,2)
(2,3)
(2,4)
(3,0)
(3,1)
(3,2)
(3,3)
(3,4)
(4,0)
(4,1)
(4,2)
(4,3)
(4,4)
(150, -120)
(-180, 140)
(75, -60)
(-110, -150)
(130, 70)
(-20, -170)
(180, -10)
(-90, 90)
(170, 160)
(-150, -130)
(0, 150)
(-100, 0)
(50, 180)
(-130, 130)
(190, -190)
(80, -20)
(-60, -180)
(30, 100)
(-70, 70)
(120, -80)
(200, 200)
(-200, -200)
(199, -199)
(-199, 199)
(5.0001, -9.0001)
